Index: 314, Mean: 39.787635803222656, Std: 8700.9013671875
Index: 315, Mean: 39.803749084472656, Std: 8703.8037109375
Index: 316, Mean: 39.82140350341797, Std: 8707.5888671875
Index: 317, Mean: 39.85771179199219, Std: 8716.294921875
Index: 318, Mean: 39.8720588684082, Std: 8719.255859375
Index: 319, Mean: 39.83699417114258, Std: 8709.162109375
Index: 320, Mean: 39.829803466796875, Std: 8707.5341796875
Index: 321, Mean: 39.7900505065918, Std: 8697.35546875
Index: 322, Mean: 39.81165313720703, Std: 8703.9267578125
Index: 323, Mean: 39.85439682006836, Std: 8714.6162109375
Index: 324, Mean: 39.83587646484375, Std: 8709.505859375
Index: 325, Mean: 39.80726623535156, Std: 8702.83203125
Index: 326, Mean: 39.825504302978516, Std: 8707.025390625
Index: 327, Mean: 39.79790496826172, Std: 8700.1513671875
Index: 328, Mean: 39.80278015136719, Std: 8700.404296875
Index: 329, Mean: 39.76485061645508, Std: 8691.119140625
Index: 330, Mean: 39.800968170166016, Std: 8700.1982421875
Index: 331, Mean: 39.82899475097656, Std: 8706.5185546875
Index: 332, Mean: 39.92805862426758, Std: 8731.6875
Index: 333, Mean: 39.91581344604492, Std: 8729.29296875
Index: 334, Mean: 39.91925811767578, Std: 8730.068359375
Index: 335, Mean: 39.96607208251953, Std: 8741.7216796875
Index: 336, Mean: 39.9468879699707, Std: 8736.8857421875
Index: 337, Mean: 39.939884185791016, Std: 8737.1767578125
Index: 338, Mean: 39.926212310791016, Std: 8733.26171875
Index: 339, Mean: 39.93222427368164, Std: 8734.8876953125
Index: 340, Mean: 39.94088363647461, Std: 8736.625
Index: 341, Mean: 39.92888259887695, Std: 8733.5615234375
Index: 342, Mean: 39.95244598388672, Std: 8739.150390625
Index: 343, Mean: 39.94002151489258, Std: 8735.4345703125
Index: 344, Mean: 39.98154067993164, Std: 8745.939453125
Index: 345, Mean: 39.96697235107422, Std: 8742.04296875
Index: 346, Mean: 39.94321060180664, Std: 8735.80859375
Index: 347, Mean: 39.950904846191406, Std: 8737.1953125
Index: 348, Mean: 39.994205474853516, Std: 8747.953125
Index: 349, Mean: 39.98667907714844, Std: 8745.4912109375
Index: 350, Mean: 39.96425247192383, Std: 8740.6083984375
Index: 351, Mean: 39.94841766357422, Std: 8736.9775390625
Index: 352, Mean: 39.93928146362305, Std: 8734.7802734375
Index: 353, Mean: 39.89219284057617, Std: 8723.0654296875
Index: 354, Mean: 39.93904113769531, Std: 8735.0390625
Index: 355, Mean: 40.02576446533203, Std: 8756.7978515625
Index: 356, Mean: 40.01980209350586, Std: 8755.1376953125
Index: 357, Mean: 40.00791931152344, Std: 8752.216796875
Index: 358, Mean: 39.99108123779297, Std: 8748.234375
Index: 359, Mean: 39.92953109741211, Std: 8733.2958984375
Index: 360, Mean: 39.888893127441406, Std: 8722.78515625
Index: 361, Mean: 39.889644622802734, Std: 8722.9453125
Index: 362, Mean: 39.892051696777344, Std: 8723.9345703125
Index: 363, Mean: 39.90288543701172, Std: 8726.6376953125
Index: 364, Mean: 39.925010681152344, Std: 8731.9853515625
Index: 365, Mean: 39.95170974731445, Std: 8738.6455078125
Index: 366, Mean: 39.929931640625, Std: 8733.48828125
Index: 367, Mean: 39.892112731933594, Std: 8724.59375
Index: 368, Mean: 39.89623260498047, Std: 8725.92578125
Index: 369, Mean: 39.91083526611328, Std: 8729.767578125
Index: 370, Mean: 39.88764953613281, Std: 8723.64453125
Index: 371, Mean: 39.85450744628906, Std: 8715.0166015625
Index: 372, Mean: 39.85865020751953, Std: 8715.7880859375
Index: 373, Mean: 39.889225006103516, Std: 8723.2353515625
Index: 374, Mean: 39.875919342041016, Std: 8720.8134765625
Index: 375, Mean: 39.960853576660156, Std: 8742.5908203125
Index: 376, Mean: 39.989871978759766, Std: 8749.5439453125
Index: 377, Mean: 40.01839065551758, Std: 8756.908203125
Index: 378, Mean: 40.009010314941406, Std: 8754.7734375
Index: 379, Mean: 40.0130500793457, Std: 8754.638671875
Index: 380, Mean: 40.040836334228516, Std: 8761.556640625
Index: 381, Mean: 40.02681350708008, Std: 8757.634765625
Index: 382, Mean: 39.984161376953125, Std: 8746.8037109375
Index: 383, Mean: 39.97471618652344, Std: 8745.34375
Index: 384, Mean: 39.962650299072266, Std: 8742.2060546875
Index: 385, Mean: 39.94090270996094, Std: 8737.0107421875
Index: 386, Mean: 39.9424934387207, Std: 8737.3466796875
Index: 387, Mean: 39.93285369873047, Std: 8735.8505859375
Index: 388, Mean: 39.919925689697266, Std: 8732.3154296875
Index: 389, Mean: 39.90656280517578, Std: 8728.87109375
Index: 390, Mean: 39.93009948730469, Std: 8734.7236328125
Index: 391, Mean: 39.97799301147461, Std: 8747.1884765625
Index: 392, Mean: 39.94175720214844, Std: 8738.2685546875
Index: 393, Mean: 39.909244537353516, Std: 8730.169921875
Index: 394, Mean: 40.00815963745117, Std: 8755.3076171875
Index: 395, Mean: 39.98628234863281, Std: 8749.6044921875
Index: 396, Mean: 39.96281814575195, Std: 8744.5068359375
Index: 397, Mean: 39.95136260986328, Std: 8741.71484375
Index: 398, Mean: 39.92615509033203, Std: 8735.619140625
Index: 399, Mean: 39.89365005493164, Std: 8727.5322265625
Index: 400, Mean: 39.90522384643555, Std: 8730.2314453125
Index: 401, Mean: 39.91595458984375, Std: 8732.4677734375
Index: 402, Mean: 39.90983581542969, Std: 8730.966796875
Index: 403, Mean: 39.897300720214844, Std: 8727.1025390625
Index: 404, Mean: 39.865013122558594, Std: 8719.279296875
Index: 405, Mean: 39.86271286010742, Std: 8718.2529296875
Index: 406, Mean: 39.85466766357422, Std: 8716.4873046875
Index: 407, Mean: 39.861106872558594, Std: 8717.6787109375
Index: 408, Mean: 39.86011505126953, Std: 8717.0712890625
Index: 409, Mean: 39.87865447998047, Std: 8721.53125
Index: 410, Mean: 39.8670768737793, Std: 8718.9140625
Index: 411, Mean: 39.84578323364258, Std: 8713.9296875
Index: 412, Mean: 39.867881774902344, Std: 8718.99609375
Index: 413, Mean: 39.92580795288086, Std: 8734.7421875
Index: 414, Mean: 39.91390609741211, Std: 8731.537109375
Index: 415, Mean: 39.884422302246094, Std: 8723.76953125
Index: 416, Mean: 39.875282287597656, Std: 8721.431640625
Index: 417, Mean: 39.8635139465332, Std: 8719.083984375
Index: 418, Mean: 39.889617919921875, Std: 8726.33984375
Index: 419, Mean: 39.86867904663086, Std: 8720.974609375
Index: 420, Mean: 39.8389778137207, Std: 8713.96875
Index: 421, Mean: 39.79649353027344, Std: 8703.2705078125
Index: 422, Mean: 39.79601287841797, Std: 8703.107421875
Index: 423, Mean: 39.7676887512207, Std: 8695.7197265625
Index: 424, Mean: 39.77870178222656, Std: 8698.7939453125
Index: 425, Mean: 39.770694732666016, Std: 8697.16796875
Index: 426, Mean: 39.756778717041016, Std: 8693.259765625
Index: 427, Mean: 39.774169921875, Std: 8697.65234375
Index: 428, Mean: 39.75923156738281, Std: 8693.5771484375
Index: 429, Mean: 39.74921798706055, Std: 8691.0615234375
Index: 430, Mean: 39.735721588134766, Std: 8687.7822265625
Index: 431, Mean: 39.753902435302734, Std: 8691.9541015625
Index: 432, Mean: 39.7341423034668, Std: 8687.5771484375
Index: 433, Mean: 39.727516174316406, Std: 8685.82421875
Index: 434, Mean: 39.77291488647461, Std: 8696.966796875
Index: 435, Mean: 39.76039123535156, Std: 8693.3134765625
Index: 436, Mean: 39.79091262817383, Std: 8700.7744140625
Index: 437, Mean: 39.763702392578125, Std: 8693.615234375
Index: 438, Mean: 39.7536735534668, Std: 8691.3701171875
Index: 439, Mean: 39.7367057800293, Std: 8686.732421875
Index: 440, Mean: 39.71217346191406, Std: 8680.8837890625
Index: 441, Mean: 39.73811340332031, Std: 8686.7841796875
Index: 442, Mean: 39.71918487548828, Std: 8681.8759765625
Index: 443, Mean: 39.714515686035156, Std: 8680.5478515625
Index: 444, Mean: 39.70747375488281, Std: 8678.828125
Index: 445, Mean: 39.70654296875, Std: 8678.4326171875
Index: 446, Mean: 39.683048248291016, Std: 8672.357421875
Index: 447, Mean: 39.693145751953125, Std: 8674.0791015625
Index: 448, Mean: 39.6834716796875, Std: 8671.7197265625
Index: 449, Mean: 39.671241760253906, Std: 8668.2509765625
Index: 450, Mean: 39.700355529785156, Std: 8675.373046875
Index: 451, Mean: 39.67720031738281, Std: 8669.662109375
Index: 452, Mean: 39.68730926513672, Std: 8672.431640625
Index: 453, Mean: 39.68096160888672, Std: 8670.6494140625
Index: 454, Mean: 39.68560791015625, Std: 8671.2763671875
Index: 455, Mean: 39.672996520996094, Std: 8667.49609375
Index: 456, Mean: 39.68745803833008, Std: 8670.943359375
Index: 457, Mean: 39.683528900146484, Std: 8669.5634765625
Index: 458, Mean: 39.67124938964844, Std: 8666.5478515625
Index: 459, Mean: 39.71162033081055, Std: 8676.6796875
